name,heightm,weightkg,evos,tags,vs_normal,vs_fire,vs_water,vs_electric,vs_grass,vs_ice,vs_fighting,vs_poison,vs_ground,vs_flying,vs_psychic,vs_bug,vs_rock,vs_ghost,vs_dragon,vs_dark,vs_steel,vs_fairy,types_Ice,types_Flying,types_Ghost,types_Dragon,types_Poison,types_Fire,types_Electric,types_Steel,types_Fighting,types_Bug,types_Dark,types_Ground,types_Fairy,types_Rock,types_Grass,types_Water,types_Psychic,types_Normal,baseStats_hp,baseStats_atk,baseStats_def,baseStats_spa,baseStats_spd,baseStats_spe
charizardgmax,0.27927926,0.0,0,0,1.0,0.06666667,0.4666667,0.5,0.0,0.20000002,0.125,0.25,0.0,0.20000002,0.25,0.0,1.0,0.25,0.5,0.20000002,0.06666667,0.06666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3031496,0.42702702,0.29795918,0.5380435,0.2826087,0.48717952
squirtle,0.004004004,0.009000899,1,0,1.0,0.06666667,0.06666667,0.5,0.4666667,0.06666667,0.25,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16929135,0.23243244,0.24489795,0.2173913,0.19130434,0.1948718
wartortle,0.009009008,0.02250225,1,0,1.0,0.06666667,0.06666667,0.5,0.4666667,0.06666667,0.25,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22834645,0.31351352,0.30612245,0.29891306,0.26086956,0.2717949
blastoise,0.015015014,0.08550855,0,0,1.0,0.06666667,0.06666667,0.5,0.4666667,0.06666667,0.25,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.30708662,0.42162162,0.3877551,0.4076087,0.3695652,0.37435898
blastoisemega,0.015015014,0.1011101,0,0,1.0,0.06666667,0.06666667,0.5,0.4666667,0.06666667,0.25,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.30708662,0.5297298,0.46938774,0.6793479,0.41304344,0.37435898
blastoisegmax,0.015015014,0.0,0,0,1.0,0.06666667,0.06666667,0.5,0.4666667,0.06666667,0.25,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.30708662,0.42162162,0.3877551,0.4076087,0.3695652,0.37435898
caterpie,0.0020020022,0.0029002898,1,0,1.0,0.4666667,0.20000002,0.25,0.06666667,0.20000002,0.125,0.25,0.125,0.4666667,0.25,0.20000002,0.4666667,0.25,0.5,0.20000002,0.20000002,0.20000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.17322835,0.13513514,0.12244897,0.054347828,0.0,0.20512821
metapod,0.0060060057,0.009900989,1,0,1.0,0.4666667,0.20000002,0.25,0.06666667,0.20000002,0.125,0.25,0.125,0.4666667,0.25,0.20000002,0.4666667,0.25,0.5,0.20000002,0.20000002,0.20000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.19291338,0.081081085,0.20408162,0.081521735,0.021739133,0.12820514
butterfree,0.01001001,0.032003198,0,0,1.0,0.4666667,0.20000002,0.5,0.0,0.4666667,0.0625,0.25,0.0,0.4666667,0.25,0.06666667,1.0,0.25,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.23228347,0.21621622,0.18367346,0.43478262,0.26086956,0.33333334
butterfreegmax,0.16916916,0.0,0,0,1.0,0.4666667,0.20000002,0.5,0.0,0.4666667,0.0625,0.25,0.0,0.4666667,0.25,0.06666667,1.0,0.25,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.23228347,0.21621622,0.18367346,0.43478262,0.26086956,0.33333334
weedle,0.0020020022,0.0032003198,1,0,1.0,0.4666667,0.20000002,0.25,0.0,0.20000002,0.0625,0.125,0.25,0.4666667,0.5,0.06666667,0.4666667,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15354331,0.16216217,0.10204081,0.054347828,0.0,0.23076925
kakuna,0.0050050053,0.010000999,1,0,1.0,0.4666667,0.20000002,0.25,0.0,0.20000002,0.0625,0.125,0.25,0.4666667,0.5,0.06666667,0.4666667,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.17322835,0.10810812,0.18367346,0.081521735,0.021739133,0.15384616
beedrill,0.009009008,0.029502949,0,0,1.0,0.4666667,0.20000002,0.25,0.0,0.20000002,0.0625,0.125,0.25,0.4666667,0.5,0.06666667,0.4666667,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2519685,0.45945945,0.14285713,0.19021739,0.26086956,0.35897437
beedrillmega,0.013013012,0.040504046,0,0,1.0,0.4666667,0.20000002,0.25,0.0,0.20000002,0.0625,0.125,0.25,0.4666667,0.5,0.06666667,0.4666667,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2519685,0.7837838,0.14285713,0.027173914,0.26086956,0.71794873
pidgey,0.0020020022,0.0018001798,1,0,1.0,0.20000002,0.20000002,0.5,0.06666667,0.4666667,0.25,0.25,0.0,0.20000002,0.25,0.06666667,0.4666667,0.0,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15354331,0.21621622,0.14285713,0.13586956,0.06521739,0.26153848
pidgeotto,0.01001001,0.030002998,1,0,1.0,0.20000002,0.20000002,0.5,0.06666667,0.4666667,0.25,0.25,0.0,0.20000002,0.25,0.06666667,0.4666667,0.0,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24409449,0.2972973,0.20408162,0.2173913,0.13043478,0.33846155
pidgeot,0.014014013,0.039503947,0,0,1.0,0.20000002,0.20000002,0.5,0.06666667,0.4666667,0.25,0.25,0.0,0.20000002,0.25,0.06666667,0.4666667,0.0,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.32283464,0.4054054,0.28571427,0.32608694,0.2173913,0.49230772
pidgeotmega,0.021021022,0.050505046,0,0,1.0,0.20000002,0.20000002,0.5,0.06666667,0.4666667,0.25,0.25,0.0,0.20000002,0.25,0.06666667,0.4666667,0.0,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.32283464,0.4054054,0.30612245,0.6793479,0.26086956,0.5948718
rattata,0.0020020022,0.0035003498,1,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,0.5,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.0,0.5,0.20000002,0.20000002,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11417323,0.27567568,0.12244897,0.081521735,0.06521739,0.34358975
rattataalola,0.0020020022,0.0038003796,1,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,1.0,0.25,0.25,0.20000002,0.0,0.4666667,0.20000002,0.0,0.5,0.06666667,0.20000002,0.4666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11417323,0.27567568,0.12244897,0.081521735,0.06521739,0.34358975
raticate,0.0060060057,0.018501848,0,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,0.5,0.25,0.25,0.20000002,0.25,0.20000002,0.20000002,0.0,0.5,0.20000002,0.20000002,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21259843,0.4108108,0.22448978,0.2173913,0.2173913,0.4717949
raticatealola,0.0060060057,0.025502548,0,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,1.0,0.25,0.25,0.20000002,0.0,0.4666667,0.20000002,0.0,0.5,0.06666667,0.20000002,0.4666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.2913386,0.35675675,0.26530612,0.16304348,0.26086956,0.36923078
raticatealolatotem,0.013013012,0.105010495,0,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,1.0,0.25,0.25,0.20000002,0.0,0.4666667,0.20000002,0.0,0.5,0.06666667,0.20000002,0.4666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.2913386,0.35675675,0.26530612,0.16304348,0.26086956,0.36923078
spearow,0.0020020022,0.0020001999,1,0,1.0,0.20000002,0.20000002,0.5,0.06666667,0.4666667,0.25,0.25,0.0,0.20000002,0.25,0.06666667,0.4666667,0.0,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15354331,0.2972973,0.10204081,0.11413044,0.04782608,0.33333334
fearow,0.011011011,0.0380038,0,0,1.0,0.20000002,0.20000002,0.5,0.06666667,0.4666667,0.25,0.25,0.0,0.20000002,0.25,0.06666667,0.4666667,0.0,0.5,0.20000002,0.20000002,0.20000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2519685,0.45945945,0.24489795,0.27717394,0.17826088,0.48717952
ekans,0.019019019,0.0069006896,1,0,1.0,0.20000002,0.20000002,0.25,0.06666667,0.20000002,0.125,0.125,0.5,0.20000002,0.5,0.06666667,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.2972973,0.15918367,0.16304348,0.14782608,0.25641027
arbok,0.034034032,0.065006495,0,0,1.0,0.20000002,0.20000002,0.25,0.06666667,0.20000002,0.125,0.125,0.5,0.20000002,0.5,0.06666667,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23228347,0.48648646,0.26122448,0.29891306,0.2565217,0.3846154
pikachu,0.003003003,0.0060006,1,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachucosplay,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachurockstar,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachubelle,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachupopstar,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachuphd,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachulibre,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachuoriginal,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachuhoenn,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachusinnoh,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachuunova,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachukalos,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachualola,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachupartner,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachustarter,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17322835,0.4054054,0.18367346,0.35326087,0.17391305,0.5897436
pikachugmax,0.2092092,0.0,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
pikachuworld,0.003003003,0.0060006,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13385826,0.27027026,0.14285713,0.2173913,0.13043478,0.43589744
raichu,0.007007007,0.030002998,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.25,0.25,0.5,0.06666667,0.25,0.20000002,0.20000002,0.25,0.5,0.20000002,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23228347,0.45945945,0.20408162,0.43478262,0.26086956,0.53846157
raichualola,0.0060060057,0.021002099,0,0,1.0,0.20000002,0.20000002,0.125,0.20000002,0.20000002,0.125,0.25,0.5,0.06666667,0.125,0.4666667,0.20000002,0.5,0.5,0.4666667,0.06666667,0.20000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.23228347,0.43243244,0.18367346,0.46195656,0.2826087,0.53846157
sandshrew,0.0050050053,0.0120012,1,0,1.0,0.20000002,0.4666667,0.0,0.4666667,0.4666667,0.25,0.125,0.25,0.20000002,0.25,0.20000002,0.06666667,0.25,0.5,0.20000002,0.20000002,0.20000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.19291338,0.37837836,0.3265306,0.054347828,0.043478265,0.17948718
sandshrewalola,0.0060060057,0.040003996,1,0,0.5,1.0,0.20000002,0.25,0.06666667,0.0,1.0,0.0,0.5,0.06666667,0.125,0.06666667,0.20000002,0.25,0.25,0.20000002,0.20000002,0.06666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.19291338,0.37837836,0.34693876,0.0,0.06521739,0.17948718
sandslash,0.009009008,0.029502949,0,0,1.0,0.20000002,0.4666667,0.0,0.4666667,0.4666667,0.25,0.125,0.25,0.20000002,0.25,0.20000002,0.06666667,0.25,0.5,0.20000002,0.20000002,0.20000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2913386,0.51351357,0.42857143,0.19021739,0.1521739,0.30769232
sandslashalola,0.011011011,0.055005495,0,0,0.5,1.0,0.20000002,0.25,0.06666667,0.0,1.0,0.0,0.5,0.06666667,0.125,0.06666667,0.20000002,0.25,0.25,0.20000002,0.20000002,0.06666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2913386,0.51351357,0.46938774,0.081521735,0.19565217,0.30769232
nidoranf,0.003003003,0.0070006996,1,0,1.0,0.20000002,0.20000002,0.25,0.06666667,0.20000002,0.125,0.125,0.5,0.20000002,0.5,0.06666667,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21259843,0.22702704,0.19183671,0.16304348,0.086956516,0.18461539
nidorina,0.007007007,0.020001998,1,0,1.0,0.20000002,0.20000002,0.25,0.06666667,0.20000002,0.125,0.125,0.5,0.20000002,0.5,0.06666667,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27165353,0.3081081,0.25306123,0.24456523,0.1521739,0.26153848
nidoqueen,0.01201201,0.060005996,0,0,1.0,0.20000002,0.4666667,0.0,0.20000002,0.4666667,0.125,0.0625,0.5,0.20000002,0.5,0.06666667,0.06666667,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3503937,0.47027028,0.33469388,0.35326087,0.2826087,0.36410257
nidoranm,0.004004004,0.009000899,1,0,1.0,0.20000002,0.20000002,0.25,0.06666667,0.20000002,0.125,0.125,0.5,0.20000002,0.5,0.06666667,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17716536,0.28108108,0.14285713,0.16304348,0.086956516,0.23076925
nidorino,0.008008007,0.019501949,1,0,1.0,0.20000002,0.20000002,0.25,0.06666667,0.20000002,0.125,0.125,0.5,0.20000002,0.5,0.06666667,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23622048,0.36216214,0.21224488,0.24456523,0.1521739,0.30769232
nidoking,0.013013012,0.062006194,0,0,1.0,0.20000002,0.4666667,0.0,0.20000002,0.4666667,0.125,0.0625,0.5,0.20000002,0.5,0.06666667,0.06666667,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.31496063,0.52432436,0.29387754,0.4076087,0.23913042,0.41025642
clefairy,0.0050050053,0.0075007495,1,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,0.125,0.5,0.25,0.20000002,0.25,0.06666667,0.20000002,0.25,0.0,0.06666667,0.4666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.27165353,0.21621622,0.17551018,0.27173913,0.19565217,0.15384616
clefable,0.01201201,0.040003996,0,0,1.0,0.20000002,0.20000002,0.25,0.20000002,0.20000002,0.125,0.5,0.25,0.20000002,0.25,0.06666667,0.20000002,0.25,0.0,0.06666667,0.4666667,0.20000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.37007874,0.35135135,0.27755103,0.46195656,0.3043478,0.2820513
vulpix,0.0050050053,0.009900989,1,0,1.0,0.06666667,0.4666667,0.25,0.06666667,0.06666667,0.25,0.25,0.5,0.20000002,0.25,0.06666667,0.4666667,0.25,0.5,0.20000002,0.06666667,0.06666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1456693,0.1945946,0.14285713,0.2173913,0.19565217,0.30769232
vulpixalola,0.0050050053,0.009900989,1,0,1.0,0.4666667,0.20000002,0.25,0.20000002,0.06666667,0.5,0.25,0.25,0.20000002,0.25,0.20000002,0.4666667,0.25,0.5,0.20000002,0.4666667,0.20000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1456693,0.1945946,0.14285713,0.2173913,0.19565217,0.30769232
ninetales,0.01001001,0.019901989,0,0,1.0,0.06666667,0.4666667,0.25,0.06666667,0.06666667,0.25,0.25,0.5,0.20000002,0.25,0.06666667,0.4666667,0.25,0.5,0.20000002,0.06666667,0.06666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28346458,0.3837838,0.28571427,0.38586956,0.34782606,0.48717952
ninetalesalola,0.01001001,0.019901989,0,0,1.0,0.4666667,0.20000002,0.25,0.20000002,0.06666667,0.25,0.5,0.25,0.20000002,0.25,0.06666667,0.4666667,0.25,0.0,0.06666667,1.0,0.20000002,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28346458,0.33513513,0.28571427,0.38586956,0.34782606,0.53333336
